"CASE_ID","Placement"
28892,FALSE
28994,TRUE
29003,FALSE
29057,FALSE
29128,FALSE
29164,FALSE
29206,FALSE
29350,FALSE
29521,FALSE
29540,TRUE
29578,FALSE
29589,FALSE
29594,FALSE
29646,FALSE
29666,FALSE
29668,FALSE
29671,FALSE
29679,FALSE
29710,FALSE
29734,TRUE
29901,TRUE
29913,FALSE
29935,FALSE
29968,TRUE
29980,FALSE
30096,FALSE
30100,TRUE
30102,TRUE
30151,TRUE
30163,FALSE
30171,FALSE
30249,TRUE
30290,FALSE
30342,FALSE
30346,TRUE
30368,FALSE
30383,FALSE
30442,TRUE
30444,TRUE
30452,TRUE
30495,TRUE
30516,TRUE
30572,FALSE
30643,FALSE
30645,TRUE
30648,TRUE
30670,TRUE
30701,FALSE
30737,FALSE
30743,FALSE
30747,FALSE
30772,FALSE
30779,TRUE
30788,TRUE
30869,FALSE
30901,FALSE
30902,FALSE
30905,FALSE
30943,FALSE
30990,FALSE
31041,FALSE
31052,FALSE
31053,FALSE
31119,TRUE
31188,FALSE
31197,TRUE
31209,TRUE
31219,FALSE
31258,FALSE
31285,FALSE
31314,TRUE
31316,FALSE
31339,TRUE
31341,FALSE
31368,FALSE
31520,TRUE
31523,FALSE
31524,TRUE
31540,TRUE
31600,FALSE
31610,TRUE
31652,FALSE
31659,FALSE
31661,TRUE
31683,FALSE
31707,FALSE
31712,FALSE
31718,FALSE
31734,FALSE
31772,TRUE
31779,FALSE
31782,TRUE
31795,FALSE
31796,FALSE
31812,FALSE
31826,TRUE
31835,FALSE
31837,FALSE
31853,TRUE
31856,FALSE
31869,FALSE
31884,TRUE
31942,FALSE
31962,TRUE
31978,FALSE
31991,FALSE
31999,FALSE
32007,FALSE
32048,FALSE
32055,FALSE
32078,FALSE
32086,TRUE
32091,TRUE
32095,TRUE
32124,FALSE
32169,FALSE
32209,FALSE
32274,FALSE
32301,TRUE
32324,FALSE
32334,FALSE
32397,TRUE
32418,FALSE
32428,FALSE
32478,TRUE
32542,TRUE
32604,FALSE
32613,TRUE
32615,TRUE
32659,FALSE
32668,FALSE
32680,FALSE
32716,TRUE
32731,FALSE
32754,FALSE
32790,FALSE
32801,TRUE
32809,FALSE
32839,FALSE
32902,TRUE
32945,FALSE
32961,FALSE
32980,FALSE
32993,TRUE
33098,FALSE
33101,TRUE
33102,TRUE
33135,TRUE
33138,FALSE
